call_id,caller_id,receiver_id,timestamp,duration_seconds,communication_type,cell_location,data_source,synthetic_data
SYN-CDR-00418,P005,P010,2026-01-01 07:38:00,975,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00413,P005,P010,2026-01-01 08:04:00,169,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00653,P008,P012,2026-01-01 23:20:00,109,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00681,P010,P013,2026-01-02 01:26:00,176,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00432,P003,P007,2026-01-02 01:59:00,1444,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00346,P015,P002,2026-01-02 03:02:00,1057,VOICE_CALL,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00399,P006,P009,2026-01-02 09:50:00,108,VOICE_CALL,South Transit Hub,Synthetic Demonstration Dataset,True
SYN-CDR-00717,P008,P012,2026-01-02 10:51:00,326,SMS,North Railway Junction,Synthetic Demonstration Dataset,True
SYN-CDR-00358,P003,P004,2026-01-02 23:33:00,1451,SMS,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00496,P007,P009,2026-01-03 01:21:00,863,VOICE_CALL,Central Bus Terminal,Synthetic Demonstration Dataset,True
SYN-CDR-00826,P012,P014,2026-01-03 09:59:00,275,VOICE_CALL,Harbour Road,Synthetic Demonstration Dataset,True
SYN-CDR-00704,P006,P008,2026-01-03 17:03:00,1169,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00998,P002,P005,2026-01-03 21:20:00,430,VOICE_CALL,Market Street,Synthetic Demonstration Dataset,True
SYN-CDR-00129,P003,P007,2026-01-03 21:56:00,1748,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00156,P004,P001,2026-01-03 22:21:00,473,VOICE_CALL,Tech Park Zone,Synthetic Demonstration Dataset,True
SYN-CDR-00724,P006,P010,2026-01-04 00:31:00,1504,VOICE_CALL,Riverbank Road,Synthetic Demonstration Dataset,True
SYN-CDR-00355,P010,P004,2026-01-04 01:27:00,1360,VOICE_CALL,Industrial Estate,Synthetic Demonstration Dataset,True
