evidence_id,evidence_type,source_reference,person_id,related_person_id,related_vehicle_id,related_location_id,related_fir_id,collection_date,description,evidence_status,confidence_score,synthetic_data
SYN-EVD-0001,DOCUMENT,FIELD_UNIT,P009,P005,,,SYN-FIR-0095,2026-08-01,"Metadata record of document associated with P009, catalogued for prototype cross-reference purposes.",VERIFIED,0.86,True
SYN-EVD-0002,FINANCIAL_RECORD,PATROL_LOG,P012,P011,,,SYN-FIR-0071,2026-08-26,"Metadata record of financial record associated with P012, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.61,True
SYN-EVD-0003,VEHICLE_OBSERVATION,ANALYST_UPLOAD,P001,P005,V007,,SYN-FIR-0075,2026-01-05,"Metadata record of vehicle observation associated with P001, catalogued for prototype cross-reference purposes.",VERIFIED,0.41,True
SYN-EVD-0004,PHOTO_REFERENCE,FIELD_UNIT,P006,P009,,,SYN-FIR-0008,2026-03-03,"Metadata record of photo reference associated with P006, catalogued for prototype cross-reference purposes.",COLLECTED,0.71,True
SYN-EVD-0005,VEHICLE_OBSERVATION,FIELD_UNIT,P008,,V017,,,2026-07-22,"Metadata record of vehicle observation associated with P008, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.96,True
SYN-EVD-0006,LOCATION_OBSERVATION,PATROL_LOG,P012,,,LOC006,SYN-FIR-0026,2026-07-21,"Metadata record of location observation associated with P012, catalogued for prototype cross-reference purposes.",COLLECTED,0.79,True
SYN-EVD-0007,LOCATION_OBSERVATION,FIELD_UNIT,P015,,,LOC003,,2026-01-02,"Metadata record of location observation associated with P015, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.81,True
SYN-EVD-0008,FINANCIAL_RECORD,ANALYST_UPLOAD,P002,P011,V009,,,2026-06-25,"Metadata record of financial record associated with P002, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.49,True
SYN-EVD-0009,VEHICLE_OBSERVATION,FIELD_UNIT,P005,P010,V018,,,2026-07-14,"Metadata record of vehicle observation associated with P005, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.6,True
SYN-EVD-0010,PHOTO_REFERENCE,PATROL_LOG,P009,P003,,,SYN-FIR-0043,2026-08-25,"Metadata record of photo reference associated with P009, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.94,True
SYN-EVD-0011,PHOTO_REFERENCE,ANALYST_UPLOAD,P007,,,LOC005,,2026-04-27,"Metadata record of photo reference associated with P007, catalogued for prototype cross-reference purposes.",VERIFIED,0.66,True
SYN-EVD-0012,COMMUNICATION_RECORD,FIELD_UNIT,P009,,,,,2026-08-19,"Metadata record of communication record associated with P009, catalogued for prototype cross-reference purposes.",VERIFIED,0.6,True
SYN-EVD-0013,DOCUMENT,DIGITAL_FORENSICS,P011,P004,V012,,,2026-03-15,"Metadata record of document associated with P011, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.63,True
SYN-EVD-0014,COMMUNICATION_RECORD,FIELD_UNIT,P013,,,,,2026-03-08,"Metadata record of communication record associated with P013, catalogued for prototype cross-reference purposes.",VERIFIED,0.51,True
SYN-EVD-0015,DOCUMENT,ANALYST_UPLOAD,P014,P003,V010,,,2026-03-02,"Metadata record of document associated with P014, catalogued for prototype cross-reference purposes.",VERIFIED,0.85,True
SYN-EVD-0016,PHOTO_REFERENCE,PATROL_LOG,P009,,,LOC010,,2026-08-10,"Metadata record of photo reference associated with P009, catalogued for prototype cross-reference purposes.",COLLECTED,0.76,True
SYN-EVD-0017,DOCUMENT,FIELD_UNIT,P013,P012,,LOC005,SYN-FIR-0013,2026-01-12,"Metadata record of document associated with P013, catalogued for prototype cross-reference purposes.",UNDER_ANALYSIS,0.42,True
SYN-EVD-0018,DIGITAL_ARTIFACT,DIGITAL_FORENSICS,P009,P015,,,,2026-06-09,"Metadata record of digital artifact associated with P009, catalogued for prototype cross-reference purposes.",COLLECTED,0.4,True
SYN-EVD-0019,FINANCIAL_RECORD,ANALYST_UPLOAD,P013,P001,V006,,,2026-08-27,"Metadata record of financial record associated with P013, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.84,True
SYN-EVD-0020,DOCUMENT,FIELD_UNIT,P011,P014,,LOC004,SYN-FIR-0022,2026-04-14,"Metadata record of document associated with P011, catalogued for prototype cross-reference purposes.",COLLECTED,0.88,True
SYN-EVD-0021,FINANCIAL_RECORD,FIELD_UNIT,P002,P009,,LOC004,,2026-06-20,"Metadata record of financial record associated with P002, catalogued for prototype cross-reference purposes.",COLLECTED,0.72,True
SYN-EVD-0022,PHOTO_REFERENCE,ANALYST_UPLOAD,P004,P011,,,,2026-04-28,"Metadata record of photo reference associated with P004, catalogued for prototype cross-reference purposes.",INCONCLUSIVE,0.7,True
