event_id,case_id,event_timestamp,event_type,person_id,related_person_id,location_id,vehicle_id,source_reference,event_description,confidence_score,synthetic_data
SYN-EVT-00001,CASE-004,2026-05-14T06:31:26,ALERT_GENERATED,P004,P014,LOC006,V006,ANALYST_ENTRY,Alert Generated logged for P004 in relation to P014.,0.73,True
SYN-EVT-00002,CASE-002,2026-04-11T03:18:37,FIR_REGISTERED,P010,P003,,V020,FIELD_UPDATE,Fir Registered logged for P010 in relation to P003.,0.6,True
SYN-EVT-00003,CASE-002,2026-02-27T22:10:16,ANALYST_REVIEW,P009,,LOC009,V014,SYSTEM_AUTO_LOG,Analyst Review logged for P009.,0.95,True
SYN-EVT-00004,CASE-001,2026-06-25T16:50:50,LOCATION_OBSERVED,P010,P014,LOC007,V019,ANALYST_ENTRY,Location Observed logged for P010 in relation to P014.,0.46,True
SYN-EVT-00005,CASE-003,2026-02-06T20:00:03,INVESTIGATION_UPDATE,P011,P003,,,SYSTEM_AUTO_LOG,Investigation Update logged for P011 in relation to P003.,0.58,True
SYN-EVT-00006,CASE-001,2026-06-13T03:29:32,CALL_DETECTED,P001,,LOC003,,SYSTEM_AUTO_LOG,Call Detected logged for P001.,0.64,True
SYN-EVT-00007,CASE-005,2026-07-14T00:33:00,VEHICLE_OBSERVED,P013,,,,FIELD_UPDATE,Vehicle Observed logged for P013.,0.64,True
SYN-EVT-00008,CASE-005,2026-04-09T09:22:35,INTELLIGENCE_RECEIVED,P015,,LOC002,,FIELD_UPDATE,Intelligence Received logged for P015.,0.55,True
SYN-EVT-00009,CASE-005,2026-01-23T04:01:49,VEHICLE_OBSERVED,P011,P006,LOC002,,FIELD_UPDATE,Vehicle Observed logged for P011 in relation to P006.,0.74,True
SYN-EVT-00010,CASE-004,2026-03-12T00:01:09,TRANSACTION_DETECTED,P011,P001,,,ANALYST_ENTRY,Transaction Detected logged for P011 in relation to P001.,0.92,True
SYN-EVT-00011,CASE-005,2026-04-01T07:01:26,TRANSACTION_DETECTED,P007,P004,,,ANALYST_ENTRY,Transaction Detected logged for P007 in relation to P004.,0.78,True
SYN-EVT-00012,CASE-003,2026-04-14T07:33:41,INTELLIGENCE_RECEIVED,P007,,LOC004,,SYSTEM_AUTO_LOG,Intelligence Received logged for P007.,0.32,True
SYN-EVT-00013,CASE-001,2026-05-09T22:48:05,LOCATION_OBSERVED,P015,P007,,,FIELD_UPDATE,Location Observed logged for P015 in relation to P007.,0.65,True
SYN-EVT-00014,CASE-003,2026-03-04T12:03:07,INTELLIGENCE_RECEIVED,P012,,LOC008,,ANALYST_ENTRY,Intelligence Received logged for P012.,0.54,True
SYN-EVT-00015,CASE-002,2026-03-18T05:40:35,VEHICLE_OBSERVED,P014,,,,ANALYST_ENTRY,Vehicle Observed logged for P014.,0.8,True
SYN-EVT-00016,CASE-001,2026-08-17T16:04:09,VEHICLE_OBSERVED,P011,P015,,,SYSTEM_AUTO_LOG,Vehicle Observed logged for P011 in relation to P015.,0.43,True
SYN-EVT-00017,CASE-005,2026-03-09T06:30:13,FIR_REGISTERED,P010,,LOC002,,SYSTEM_AUTO_LOG,Fir Registered logged for P010.,0.75,True
