record_id,person_id,location_id,location_name,latitude,longitude,timestamp,observation_type,data_source,synthetic_data
SYN-LOC-00321,P009,LOC007,Riverbank Road,13.05,80.275,2026-01-01 08:59:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00618,P001,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-01 23:16:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00565,P001,LOC005,Market Street,13.07,80.26,2026-01-02 06:39:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00231,P006,LOC007,Riverbank Road,13.05,80.275,2026-01-02 11:59:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00416,P011,LOC008,Tech Park Zone,13.04,80.23,2026-01-03 07:36:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00156,P015,LOC008,Tech Park Zone,13.04,80.23,2026-01-03 09:33:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00024,P011,LOC003,Industrial Estate,13.06,80.24,2026-01-04 00:28:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00524,P014,LOC003,Industrial Estate,13.06,80.24,2026-01-04 15:18:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00450,P007,LOC007,Riverbank Road,13.05,80.275,2026-01-05 03:21:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00707,P015,LOC006,Old Warehouse District,13.11,80.25,2026-01-05 03:27:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00360,P004,LOC005,Market Street,13.07,80.26,2026-01-05 23:37:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00722,P001,LOC005,Market Street,13.07,80.26,2026-01-06 01:07:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00664,P002,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-06 07:44:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00660,P012,LOC003,Industrial Estate,13.06,80.24,2026-01-06 11:31:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00703,P003,LOC005,Market Street,13.07,80.26,2026-01-06 18:34:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00650,P008,LOC004,Harbour Road,13.1,80.3,2026-01-06 19:04:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00682,P008,LOC007,Riverbank Road,13.05,80.275,2026-01-06 21:18:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00316,P010,LOC004,Harbour Road,13.1,80.3,2026-01-06 21:52:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00154,P004,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-06 23:56:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00652,P008,LOC002,North Railway Junction,13.095,80.28,2026-01-07 04:08:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00167,P008,LOC002,North Railway Junction,13.095,80.28,2026-01-07 09:23:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00365,P014,LOC003,Industrial Estate,13.06,80.24,2026-01-07 22:36:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00719,P005,LOC005,Market Street,13.07,80.26,2026-01-08 06:07:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00329,P009,LOC004,Harbour Road,13.1,80.3,2026-01-08 07:40:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00493,P008,LOC007,Riverbank Road,13.05,80.275,2026-01-08 10:29:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00335,P004,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-09 05:03:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00452,P002,LOC009,South Transit Hub,13.03,80.265,2026-01-09 06:07:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00037,P005,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-09 15:52:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00523,P005,LOC005,Market Street,13.07,80.26,2026-01-09 17:04:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00113,P012,LOC008,Tech Park Zone,13.04,80.23,2026-01-09 18:02:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00479,P012,LOC003,Industrial Estate,13.06,80.24,2026-01-10 03:16:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00084,P011,LOC006,Old Warehouse District,13.11,80.25,2026-01-10 05:16:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00499,P008,LOC004,Harbour Road,13.1,80.3,2026-01-11 06:39:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00068,P007,LOC009,South Transit Hub,13.03,80.265,2026-01-12 01:50:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00389,P010,LOC009,South Transit Hub,13.03,80.265,2026-01-12 09:42:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00672,P001,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-12 13:30:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00538,P007,LOC007,Riverbank Road,13.05,80.275,2026-01-12 16:32:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00202,P003,LOC005,Market Street,13.07,80.26,2026-01-12 17:07:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00622,P002,LOC005,Market Street,13.07,80.26,2026-01-13 00:45:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00410,P009,LOC002,North Railway Junction,13.095,80.28,2026-01-13 02:36:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00469,P014,LOC006,Old Warehouse District,13.11,80.25,2026-01-13 07:20:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00549,P011,LOC008,Tech Park Zone,13.04,80.23,2026-01-13 15:39:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00506,P013,LOC008,Tech Park Zone,13.04,80.23,2026-01-14 10:05:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00384,P004,LOC005,Market Street,13.07,80.26,2026-01-14 23:16:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00663,P011,LOC006,Old Warehouse District,13.11,80.25,2026-01-15 05:20:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00398,P006,LOC004,Harbour Road,13.1,80.3,2026-01-16 02:35:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00403,P010,LOC004,Harbour Road,13.1,80.3,2026-01-16 23:05:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00012,P001,LOC005,Market Street,13.07,80.26,2026-01-17 05:08:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00449,P014,LOC005,Market Street,13.07,80.26,2026-01-17 07:49:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00158,P013,LOC008,Tech Park Zone,13.04,80.23,2026-01-17 18:45:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00465,P010,LOC007,Riverbank Road,13.05,80.275,2026-01-18 08:48:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00628,P011,LOC003,Industrial Estate,13.06,80.24,2026-01-18 23:32:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00256,P002,LOC001,Central Bus Terminal,13.0827,80.2707,2026-01-19 06:44:00,FIELD_OBSERVATION,Synthetic Demonstration Dataset,True
SYN-LOC-00120,P012,LOC006,Old Warehouse District,13.11,80.25,2026-01-20 05:28:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00253,P013,LOC003,Industrial Estate,13.06,80.24,2026-01-20 14:46:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00685,P008,LOC007,Riverbank Road,13.05,80.275,2026-01-20 20:57:00,CELL_TOWER,Synthetic Demonstration Dataset,True
SYN-LOC-00111,P013,LOC003,Industrial Estate,13.06,80.24,2026-01-20 23:16:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
SYN-LOC-00214,P015,LOC003,Industrial Estate,13.06,80.24,2026-01-21 04:01:00,CCTV_REFERENCE,Synthetic Demonstration Dataset,True
