link_id,person_id,organization_id,relationship_type,start_date,end_date,confidence_score,source_reference,synthetic_data
SYN-POL-0001,P001,SYN-ORG-001,SUSPECTED_ASSOCIATE,2024-10-03,,0.35,FIELD_REPORT,True
SYN-POL-0002,P002,SYN-ORG-001,DIRECTOR,2024-02-15,,0.8,REGISTRY_CHECK,True
SYN-POL-0003,P003,SYN-ORG-005,ASSOCIATE,2025-07-27,,0.37,ANALYST_REPORT,True
SYN-POL-0004,P004,SYN-ORG-002,DIRECTOR,2024-03-03,,0.79,REGISTRY_CHECK,True
SYN-POL-0005,P005,SYN-ORG-007,SUSPECTED_ASSOCIATE,2025-11-17,,0.34,ANALYST_REPORT,True
SYN-POL-0006,P006,SYN-ORG-009,SUSPECTED_ASSOCIATE,2025-07-02,,0.42,ANALYST_REPORT,True
SYN-POL-0007,P007,SYN-ORG-001,DIRECTOR,2024-06-28,,0.78,REGISTRY_CHECK,True
SYN-POL-0008,P008,SYN-ORG-003,ASSOCIATE,2024-06-29,,0.5,FIELD_REPORT,True
SYN-POL-0009,P009,SYN-ORG-002,DIRECTOR,2025-10-07,,0.89,REGISTRY_CHECK,True
SYN-POL-0010,P010,SYN-ORG-005,SUSPECTED_ASSOCIATE,2024-01-04,,0.34,HUMAN_SOURCE,True
SYN-POL-0011,P011,SYN-ORG-006,SUSPECTED_ASSOCIATE,2024-04-07,,0.51,HUMAN_SOURCE,True
SYN-POL-0012,P012,SYN-ORG-001,MEMBER,2024-12-20,,0.96,REGISTRY_CHECK,True
SYN-POL-0013,P013,SYN-ORG-009,SUSPECTED_ASSOCIATE,2024-11-05,,0.42,FIELD_REPORT,True
SYN-POL-0014,P014,SYN-ORG-002,DIRECTOR,2025-05-07,,0.84,REGISTRY_CHECK,True
SYN-POL-0015,P015,SYN-ORG-004,ASSOCIATE,2024-06-11,,0.43,FIELD_REPORT,True
SYN-POL-0016,P006,SYN-ORG-010,ASSOCIATE,2024-03-20,,0.3,FIELD_REPORT,True
SYN-POL-0017,P009,SYN-ORG-002,SUSPECTED_ASSOCIATE,2025-04-21,,0.31,FIELD_REPORT,True
SYN-POL-0018,P010,SYN-ORG-007,ASSOCIATE,2025-05-07,,0.4,ANALYST_REPORT,True
SYN-POL-0019,P010,SYN-ORG-006,SUSPECTED_ASSOCIATE,2024-04-05,,0.35,ANALYST_REPORT,True
SYN-POL-0020,P008,SYN-ORG-008,SUSPECTED_ASSOCIATE,2024-08-30,,0.33,FIELD_REPORT,True
SYN-POL-0021,P012,SYN-ORG-006,SUSPECTED_ASSOCIATE,2025-01-06,,0.63,FIELD_REPORT,True
SYN-POL-0022,P009,SYN-ORG-001,ASSOCIATE,2025-02-14,,0.44,HUMAN_SOURCE,True
SYN-POL-0023,P009,SYN-ORG-001,SUSPECTED_ASSOCIATE,2025-05-14,,0.65,HUMAN_SOURCE,True
SYN-POL-0024,P014,SYN-ORG-005,SUSPECTED_ASSOCIATE,2025-12-06,,0.37,FIELD_REPORT,True
SYN-POL-0025,P009,SYN-ORG-009,SUSPECTED_ASSOCIATE,2025-05-09,,0.39,FIELD_REPORT,True
SYN-POL-0026,P013,SYN-ORG-004,SUSPECTED_ASSOCIATE,2025-07-28,,0.62,FIELD_REPORT,True
SYN-POL-0027,P009,SYN-ORG-008,SUSPECTED_ASSOCIATE,2025-07-21,,0.31,FIELD_REPORT,True
SYN-POL-0028,P013,SYN-ORG-005,SUSPECTED_ASSOCIATE,2024-07-20,,0.38,HUMAN_SOURCE,True
SYN-POL-0029,P006,SYN-ORG-008,SUSPECTED_ASSOCIATE,2024-10-10,,0.33,FIELD_REPORT,True
SYN-POL-0030,P004,SYN-ORG-008,ASSOCIATE,2024-09-19,,0.38,HUMAN_SOURCE,True
SYN-POL-0031,P015,SYN-ORG-010,ASSOCIATE,2025-01-07,,0.66,ANALYST_REPORT,True
SYN-POL-0032,P013,SYN-ORG-002,ASSOCIATE,2025-12-07,,0.46,HUMAN_SOURCE,True
SYN-POL-0033,P013,SYN-ORG-004,SUSPECTED_ASSOCIATE,2025-11-21,,0.37,HUMAN_SOURCE,True
SYN-POL-0034,P006,SYN-ORG-002,SUSPECTED_ASSOCIATE,2024-12-25,,0.46,FIELD_REPORT,True
SYN-POL-0035,P012,SYN-ORG-003,ASSOCIATE,2024-04-08,,0.31,HUMAN_SOURCE,True
