transaction_id,sender_id,receiver_id,amount,currency,timestamp,transaction_type,pattern_label,data_source,synthetic_data
SYN-TXN-00418,P006,P011,18009,INR,2026-01-01 06:05:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00146,P001,P012,2026,INR,2026-01-02 06:00:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00357,P001,P004,2355,INR,2026-01-02 13:06:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00174,P003,P014,19295,INR,2026-01-02 18:05:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00154,P015,P007,1470,INR,2026-01-03 05:41:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00014,P010,P006,17776,INR,2026-01-04 02:45:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00491,P006,P011,2312,INR,2026-01-04 06:16:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00356,P014,P009,20911,INR,2026-01-04 18:49:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00178,P011,P013,6852,INR,2026-01-04 19:59:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00348,P014,P003,755,INR,2026-01-05 19:09:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00335,P012,P005,3885,INR,2026-01-06 11:52:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00468,P006,P015,6305,INR,2026-01-06 18:56:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00586,P009,P015,14596,INR,2026-01-06 20:31:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00296,P002,P003,3621,INR,2026-01-07 18:19:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00248,P007,P005,4327,INR,2026-01-08 07:56:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00055,P005,P003,3496,INR,2026-01-08 11:19:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00236,P005,P013,4415,INR,2026-01-08 16:09:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00247,P004,P006,2092,INR,2026-01-08 18:19:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00175,P001,P003,4451,INR,2026-01-09 02:32:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00187,P013,P011,516,INR,2026-01-09 14:48:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00036,P001,P015,3820,INR,2026-01-10 10:16:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00070,P008,P014,4984,INR,2026-01-10 14:57:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00502,P001,P011,21287,INR,2026-01-11 04:48:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00670,P004,P011,50892,INR,2026-01-11 16:00:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00649,P002,P006,72031,INR,2026-01-11 16:00:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00650,P006,P009,70893,INR,2026-01-11 16:25:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00671,P011,P013,50227,INR,2026-01-11 16:25:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00672,P013,P004,49851,INR,2026-01-11 16:50:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00651,P009,P002,70694,INR,2026-01-11 16:50:00,TRANSFER,CIRCULAR_FLOW,Synthetic Demonstration Dataset,True
SYN-TXN-00538,P010,P007,4903,INR,2026-01-12 03:44:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00119,P009,P010,1407,INR,2026-01-13 00:02:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00105,P002,P012,3527,INR,2026-01-13 02:40:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00071,P013,P011,678,INR,2026-01-13 12:12:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00074,P009,P008,9603,INR,2026-01-14 14:24:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00002,P011,P007,4126,INR,2026-01-15 14:36:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00439,P003,P006,7052,INR,2026-01-15 15:07:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00298,P011,P012,1738,INR,2026-01-15 22:38:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00361,P011,P009,22233,INR,2026-01-16 06:00:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00306,P003,P001,4490,INR,2026-01-16 17:43:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00108,P006,P015,6710,INR,2026-01-17 00:46:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00592,P012,P001,7931,INR,2026-01-17 02:26:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00601,P001,P003,118391,INR,2026-01-17 10:00:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00602,P003,P007,117096,INR,2026-01-17 10:35:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00562,P010,P001,20716,INR,2026-01-17 10:56:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00603,P007,P010,113967,INR,2026-01-17 11:10:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00139,P005,P008,17264,INR,2026-01-17 23:15:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
SYN-TXN-00625,P005,P008,118862,INR,2026-01-18 10:00:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00626,P008,P012,117724,INR,2026-01-18 10:35:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00627,P012,P014,116200,INR,2026-01-18 11:10:00,TRANSFER,TRANSACTION_CHAIN,Synthetic Demonstration Dataset,True
SYN-TXN-00530,P014,P006,3280,INR,2026-01-18 11:50:00,TRANSFER,NORMAL,Synthetic Demonstration Dataset,True
