association_id,vehicle_id,person_id,relationship_type,synthetic_data
SYN-VA-0001,V016,P003,PRIMARY_OWNER,True
SYN-VA-0002,V016,P007,SHARED_USE_OBSERVED,True
SYN-VA-0003,V017,P005,PRIMARY_OWNER,True
SYN-VA-0004,V017,P010,SHARED_USE_OBSERVED,True
SYN-VA-0005,V018,P008,PRIMARY_OWNER,True
SYN-VA-0006,V018,P012,SHARED_USE_OBSERVED,True
SYN-VA-0007,V019,P010,PRIMARY_OWNER,True
SYN-VA-0008,V019,P013,SHARED_USE_OBSERVED,True
SYN-VA-0009,V020,P004,PRIMARY_OWNER,True
SYN-VA-0010,V020,P011,SHARED_USE_OBSERVED,True
SYN-VA-0011,V001,P006,PRIMARY_OWNER,True
SYN-VA-0012,V002,P001,PRIMARY_OWNER,True
SYN-VA-0013,V003,P010,PRIMARY_OWNER,True
SYN-VA-0014,V004,P002,PRIMARY_OWNER,True
SYN-VA-0015,V005,P004,PRIMARY_OWNER,True
SYN-VA-0016,V006,P014,PRIMARY_OWNER,True
SYN-VA-0017,V007,P011,PRIMARY_OWNER,True
SYN-VA-0018,V008,P010,PRIMARY_OWNER,True
SYN-VA-0019,V009,P001,PRIMARY_OWNER,True
SYN-VA-0020,V010,P007,PRIMARY_OWNER,True
SYN-VA-0021,V011,P005,PRIMARY_OWNER,True
SYN-VA-0022,V012,P010,PRIMARY_OWNER,True
SYN-VA-0023,V013,P002,PRIMARY_OWNER,True
SYN-VA-0024,V014,P001,PRIMARY_OWNER,True
SYN-VA-0025,V015,P011,PRIMARY_OWNER,True
SYN-VA-0031,V003,P002,OBSERVED_WITH,True
SYN-VA-0032,V014,P003,FREQUENT_USER,True
SYN-VA-0033,V005,P015,FREQUENT_USER,True
SYN-VA-0034,V014,P001,OBSERVED_WITH,True
SYN-VA-0035,V003,P013,OBSERVED_WITH,True
SYN-VA-0036,V019,P013,FREQUENT_USER,True
SYN-VA-0037,V011,P012,FREQUENT_USER,True
SYN-VA-0038,V020,P008,OBSERVED_WITH,True
SYN-VA-0039,V015,P002,SHARED_USE_OBSERVED,True
SYN-VA-0040,V009,P008,OBSERVED_WITH,True
